time,value
1662510000,89
1662510300,202
1662510600,303
1662510900,327
1662511200,130
1662511500,299
1662511800,388
1662512100,269
1662512400,202
1662512700,45
1662513000,22
1662513300,91
1662513600,205
1662513900,239
1662514200,340
1662514500,393
1662514800,257
1662515100,471
1662515400,573
1662515700,577
1662516000,655
1662516300,598
1662516600,521
1662516900,584
1662517200,743
1662517500,806
1662517800,978
1662518100,910
1662518400,855
1662518700,1008
1662519000,1161
1662519300,1332
1662519600,1008
1662519900,1209
1662520200,1016
1662520500,893
1662520800,670
1662521100,823
1662521400,990
1662521700,925
1662522000,1046
1662522300,1284
1662522600,1396
1662522900,1261
1662523200,1443
1662523500,1753
1662523800,1807
1662524100,1950
1662524400,1781
1662524700,1769
1662525000,1754
1662525300,1855
1662525600,1883
1662525900,1785
1662526200,1797
1662526500,1766
1662526800,1812
1662527100,1743
1662527400,1829
1662527700,1866
1662528000,1693
1662528300,1770
1662528600,1751
1662528900,1731
1662529200,1742
1662529500,1774
1662529800,1763
1662530100,1734
1662530400,1680
1662530700,1716
1662531000,1697
1662531300,1748
1662531600,1629
1662531900,1849
1662532200,1760
1662532500,1754
1662532800,1715
1662533100,1712
1662533400,1654
1662533700,1642
1662534000,1784
1662534300,1727
1662534600,1808
1662534900,1863
1662535200,1712
1662535500,1624
1662535800,1636
1662536100,1689
1662536400,1764
1662536700,1773
1662537000,1693
1662537300,1558
1662537600,1721
1662537900,1794
1662538200,1655
1662538500,1701
1662538800,1743
1662539100,1583
1662539400,1581
1662539700,1621
1662540000,1715
1662540300,1678
1662540600,1762
1662540900,1665
1662541200,1614
1662541500,1722
1662541800,1648
1662542100,1715
1662542400,1623
1662542700,1615
1662543000,1269
1662543300,1238
1662543600,1270
1662543900,1253
1662544200,1294
1662544500,1259
1662544800,1135
1662545100,1406
1662545400,1519
1662545700,1721
1662546000,1734
1662546300,1663
1662546600,1745
1662546900,1747
1662547200,1671
1662547500,1772
1662547800,1641
1662548100,1684
1662548400,1639
1662548700,1667
1662549000,1760
1662549300,1657
1662549600,1784
1662549900,1807
1662550200,1746
1662550500,1768
1662550800,1753
1662551100,1723
1662551400,1784
1662551700,1819
1662552000,1748
1662552300,1857
1662552600,2001
1662552900,1914
1662553200,2045
1662553500,2031
1662553800,2185
1662554100,2106
1662554400,2200
1662554700,2233
1662555000,2261
1662555300,2123
1662555600,2072
1662555900,2189
1662556200,2118
1662556500,2198
1662556800,2210
1662557100,2187
1662557400,2034
1662557700,1936
1662558000,2051
1662558300,2084
1662558600,2101
1662558900,2136
1662559200,2183
1662559500,2127
1662559800,2172
1662560100,2206
1662560400,2091
1662560700,2069
1662561000,2148
1662561300,2151
1662561600,2201
1662561900,2195
1662562200,2162
1662562500,2121
1662562800,2125
1662563100,2191
1662563400,2193
1662563700,2171
1662564000,1988
1662564300,2132
1662564600,2145
1662564900,2260
1662565200,2164
1662565500,2322
1662565800,2131
1662566100,2095
1662566400,2116
1662566700,2172
1662567000,2255
1662567300,2188
1662567600,2145
1662567900,2207
1662568200,2112
1662568500,2164
1662568800,2048
1662569100,2012
1662569400,2163
1662569700,1952
1662570000,1819
1662570300,1982
1662570600,1992
1662570900,1943
1662571200,1670
1662571500,1829
1662571800,1863
1662572100,1844
1662572400,1479
1662572700,1723
1662573000,1910
1662573300,1669
1662573600,1517
1662573900,1577
1662574200,1652
1662574500,1593
1662574800,1437
1662575100,1534
1662575400,1632
1662575700,1812
1662576000,1475
1662576300,1573
